iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
83,500,4128768,4264.0,58.01,2.3466,0.8565,458.4167,11.53,929
84,500,4177920,4273.0,61.98,2.3598,0.7222,468.0,11.5,941
85,500,4227072,4279.0,59.49,2.3228,0.7446,479.9583,11.49,952
86,500,4276224,4272.0,60.52,2.2638,0.9155,490.8333,11.51,964
87,500,4325376,4266.0,69.96,2.1996,0.5493,496.7083,11.52,975
88,500,4374528,4247.0,61.14,2.2053,0.6897,504.0,11.57,987
89,500,4423680,4246.0,63.15,2.2056,0.5249,510.125,11.57,998
90,500,4472832,4258.0,65.73,2.2015,0.4842,515.8334,11.54,1010
91,500,4521984,4254.0,63.11,2.171,0.4842,518.1667,11.55,1021
92,500,4571136,4244.0,63.13,2.1454,0.6571,523.375,11.58,1033
93,500,4620288,4254.0,64.27,2.0683,0.3438,524.0,11.55,1045
94,500,4669440,4259.0,63.6,2.0381,0.5066,526.25,11.54,1056
95,500,4718592,4253.0,68.55,1.9868,0.4801,532.5834,11.56,1068
96,500,4767744,4242.0,63.23,1.9451,0.4781,540.3334,11.59,1079
97,500,4816896,4227.0,65.76,1.8586,0.5086,545.6667,11.63,1091
98,500,4866048,4236.0,70.68,1.8025,0.413,549.0,11.6,1102
99,500,4915200,4228.0,71.18,1.8004,0.4333,551.4167,11.62,1114
100,500,4964352,4230.0,71.46,1.7417,0.2828,554.625,11.62,1126
101,500,5013504,4215.0,69.22,1.7825,0.1261,555.0,11.66,1137
102,500,5062656,4216.0,74.48,1.7517,0.1973,555.7917,11.66,1149
103,500,5111808,4226.0,73.94,1.7487,0.1912,558.0,11.63,1161
104,500,5160960,4241.0,70.95,1.7109,0.1689,558.875,11.59,1172
105,500,5210112,4237.0,74.33,1.6388,0.0997,559.0,11.6,1184
106,500,5259264,4227.0,75.7,1.6227,0.118,559.7917,11.63,1195
107,500,5308416,4222.0,78.59,1.6155,0.1099,560.0,11.64,1207
108,500,5357568,4217.0,74.17,1.6151,0.1546,560.2917,11.65,1219
109,500,5406720,4223.0,80.3,1.5853,0.116,561.875,11.64,1230
110,500,5455872,4216.0,75.68,1.5905,0.2136,563.0417,11.66,1242
111,500,5505024,4208.0,78.79,1.5679,0.2523,565.375,11.68,1254
