iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
352,500,17350656,4279.0,94.1,1.133,0.2604,1000.5417,11.49,4036
353,500,17399808,4288.0,96.31,1.1259,0.3845,1002.2917,11.46,4048
354,500,17448960,4297.0,100.27,1.1304,0.2889,1004.875,11.44,4059
355,500,17498112,4294.0,95.28,1.1328,0.2686,1005.625,11.45,4071
356,500,17547264,4289.0,91.81,1.091,0.3255,1006.7917,11.46,4082
357,500,17596416,4280.0,96.49,1.0707,0.3825,1008.0834,11.48,4094
358,500,17645568,4287.0,95.44,1.1128,0.4761,1009.7084,11.46,4105
359,500,17694720,4276.0,92.5,1.111,0.7528,1010.4584,11.49,4117
360,500,17743872,4281.0,95.53,1.1498,0.4435,1011.4167,11.48,4128
361,500,17793024,4280.0,92.6,1.1532,0.3967,1013.75,11.48,4140
362,500,17842176,4291.0,94.2,1.1603,0.5452,1018.5417,11.45,4151
363,500,17891328,4283.0,91.85,1.1847,0.411,1022.4167,11.47,4163
364,500,17940480,4289.0,95.17,1.1797,0.4171,1024.875,11.46,4174
365,500,17989632,4282.0,85.81,1.1786,0.6104,1027.0834,11.48,4185
366,500,18038784,4278.0,97.53,1.1933,0.5717,1030.5417,11.49,4197
367,500,18087936,4265.0,89.09,1.2246,0.5778,1035.625,11.52,4208
368,500,18137088,4261.0,91.51,1.1784,0.5758,1043.0,11.53,4220
369,500,18186240,4254.0,91.56,1.2113,0.5615,1046.375,11.55,4232
370,500,18235392,4277.0,100.91,1.2551,0.5412,1048.8334,11.49,4243
371,500,18284544,4271.0,97.16,1.2043,0.356,1051.1667,11.51,4255
372,500,18333696,4268.0,95.0,1.1841,0.3133,1053.0834,11.52,4266
373,500,18382848,4265.0,98.66,1.1979,0.5981,1055.0,11.52,4278
374,500,18432000,4264.0,97.04,1.1986,0.5697,1056.9167,11.52,4289
375,500,18481152,4274.0,98.05,1.2335,0.5127,1059.4584,11.5,4301
376,500,18530304,4274.0,90.65,1.2136,0.4354,1063.75,11.5,4312
377,500,18579456,4274.0,89.42,1.1896,0.4191,1066.0834,11.5,4324
378,500,18628608,4273.0,95.14,1.1686,0.4252,1067.2917,11.5,4335
379,500,18677760,4292.0,96.29,1.1396,0.3866,1068.0,11.45,4347
380,500,18726912,4289.0,95.01,1.1567,0.4293,1068.8334,11.46,4358
381,500,18776064,4266.0,96.3,1.1369,0.415,1070.0,11.52,4370
382,500,18825216,4290.0,95.83,1.0909,0.5615,1075.5834,11.46,4381
383,500,18874368,4274.0,98.76,1.0961,0.588,1079.5834,11.5,4392
384,500,18923520,4289.0,97.43,1.115,0.3337,1082.0417,11.46,4404
385,500,18972672,4279.0,93.72,1.1368,0.5229,1083.8334,11.48,4415
386,500,19021824,4281.0,91.65,1.1255,0.5025,1086.1667,11.48,4427
387,500,19070976,4292.0,102.49,1.0848,0.4171,1087.9584,11.45,4438
388,500,19120128,4290.0,97.18,1.0833,0.3398,1089.0,11.46,4450
389,500,19169280,4282.0,94.11,1.1016,0.3886,1093.1667,11.48,4461
390,500,19218432,4273.0,95.42,1.1467,0.529,1096.625,11.5,4473
391,500,19267584,4270.0,93.71,1.1588,0.4944,1098.5834,11.51,4484
392,500,19316736,4268.0,90.83,1.1476,0.6632,1099.9584,11.51,4496
393,500,19365888,4264.0,99.03,1.1541,0.5717,1101.7084,11.53,4507
394,500,19415040,4260.0,93.64,1.1884,0.5493,1107.875,11.54,4519
395,500,19464192,4278.0,94.8,1.2069,0.3967,1110.8334,11.49,4530
396,500,19513344,4257.0,92.6,1.2168,0.4944,1113.5417,11.55,4542
397,500,19562496,4266.0,91.29,1.1991,0.5819,1118.375,11.52,4553
398,500,19611648,4256.0,89.33,1.2025,0.4781,1125.125,11.55,4565
399,500,19660800,4274.0,93.13,1.1828,0.4801,1129.2917,11.5,4576
400,500,19709952,4274.0,93.73,1.2237,0.5798,1133.6667,11.5,4588
401,500,19759104,4270.0,100.29,1.192,0.47,1137.1667,11.51,4599
402,500,19808256,4272.0,97.2,1.2127,0.4964,1139.875,11.5,4611
403,500,19857408,4271.0,96.79,1.2128,0.3662,1143.2917,11.51,4623
404,500,19906560,4272.0,96.94,1.1932,0.2482,1145.375,11.51,4634
405,500,19955712,4268.0,95.46,1.1746,0.4028,1148.25,11.52,4646
406,500,20004864,4274.0,95.92,1.108,0.5147,1151.375,11.5,4657
407,500,20054016,4264.0,96.06,1.1205,0.4008,1153.625,11.53,4669
408,500,20103168,4259.0,96.79,1.2098,0.5452,1157.4167,11.54,4680
409,500,20152320,4260.0,92.19,1.2578,0.8199,1160.0,11.54,4692
410,500,20201472,4267.0,93.83,1.2931,0.5778,1164.6667,11.52,4703
411,500,20250624,4259.0,99.96,1.2756,0.4049,1168.1667,11.54,4715
412,500,20299776,4268.0,97.26,1.3374,0.5839,1170.2084,11.51,4726
413,500,20348928,4271.0,87.7,1.3578,0.3805,1172.2917,11.51,4738
414,500,20398080,4279.0,98.79,1.2724,0.4537,1175.6667,11.49,4749
415,500,20447232,4273.0,96.26,1.1988,0.3642,1178.4584,11.5,4761
416,500,20496384,4285.0,99.95,1.165,0.5249,1181.1667,11.47,4772
417,500,20545536,4286.0,98.6,1.1589,0.3764,1182.7917,11.47,4784
418,500,20594688,4275.0,98.3,1.1735,0.5046,1186.5834,11.5,4795
419,500,20643840,4297.0,89.43,1.1287,0.3825,1190.3334,11.44,4807
420,500,20692992,4281.0,99.88,1.1429,0.236,1191.0,11.48,4818
421,500,20742144,4283.0,90.9,1.1477,0.2116,1191.75,11.47,4830
422,500,20791296,4274.0,98.4,1.1402,0.354,1193.25,11.5,4841
423,500,20840448,4284.0,98.5,1.1549,0.3825,1196.2917,11.47,4852
424,500,20889600,4286.0,97.72,1.1446,0.4496,1199.4167,11.47,4864
425,500,20938752,4279.0,95.97,1.1391,0.4232,1202.2084,11.49,4875
426,500,20987904,4296.0,100.23,1.0942,0.474,1204.5417,11.44,4887
427,500,21037056,4281.0,98.53,1.111,0.3805,1208.125,11.48,4898
428,500,21086208,4299.0,97.24,1.1576,0.3947,1214.2917,11.43,4910
429,500,21135360,4282.0,100.72,1.163,0.4435,1217.4584,11.48,4921
430,500,21184512,4282.0,93.97,1.2309,0.4537,1221.625,11.48,4933
431,500,21233664,4281.0,96.73,1.1982,0.352,1225.125,11.48,4944
432,500,21282816,4289.0,100.43,1.1581,0.2563,1227.9584,11.46,4956
433,500,21331968,4295.0,99.42,1.1569,0.3316,1230.125,11.44,4967
434,500,21381120,4288.0,90.49,1.1237,0.2706,1231.875,11.46,4979
435,500,21430272,4295.0,97.21,1.0763,0.2645,1232.8334,11.44,4990
436,500,21479424,4284.0,94.32,1.0418,0.4313,1234.75,11.47,5001
437,500,21528576,4283.0,101.38,1.031,0.4191,1237.75,11.48,5013
438,500,21577728,4292.0,97.71,1.0434,0.3642,1241.0,11.45,5024
439,500,21626880,4274.0,101.51,1.0388,0.3092,1242.9167,11.5,5036
440,500,21676032,4262.0,99.24,1.0706,0.3276,1244.8334,11.53,5047
441,500,21725184,4274.0,99.85,1.1448,0.4985,1249.5417,11.5,5059
442,500,21774336,4298.0,100.62,1.1758,0.529,1253.1667,11.44,5070
443,500,21823488,4298.0,97.29,1.1624,0.6104,1257.125,11.43,5082
444,500,21872640,4292.0,97.3,1.16,0.4598,1258.9584,11.45,5093
445,500,21921792,4282.0,98.59,1.1808,0.4862,1261.625,11.48,5105
446,500,21970944,4293.0,94.49,1.2058,0.3906,1263.5417,11.45,5116
447,500,22020096,4282.0,92.06,1.194,0.4618,1266.5,11.48,5128
448,500,22069248,4287.0,97.0,1.1528,0.4842,1268.7084,11.46,5139
449,500,22118400,4306.0,101.67,1.1286,0.356,1271.7917,11.41,5151
450,500,22167552,4289.0,94.91,1.1371,0.3723,1274.25,11.46,5162
451,500,22216704,4299.0,100.14,1.1293,0.3967,1275.7917,11.43,5173
452,500,22265856,4291.0,90.96,1.097,0.3052,1278.0417,11.45,5185
453,500,22315008,4292.0,103.77,1.0675,0.472,1280.4167,11.45,5196
454,500,22364160,4301.0,95.42,1.1057,0.5636,1282.3334,11.43,5208
455,500,22413312,4299.0,90.42,1.1654,0.3276,1284.875,11.43,5219
456,500,22462464,4284.0,97.41,1.1793,0.4191,1286.7917,11.47,5231
457,500,22511616,4300.0,97.58,1.1674,0.238,1287.9584,11.43,5242
458,500,22560768,4285.0,95.41,1.1426,0.3194,1288.7084,11.47,5254
459,500,22609920,4261.0,101.26,1.0956,0.2197,1289.9584,11.53,5265
460,500,22659072,4274.0,105.45,1.103,0.2075,1292.625,11.5,5277
461,500,22708224,4272.0,96.59,1.1528,0.2218,1293.0,11.5,5288
462,500,22757376,4288.0,95.69,1.0799,0.3052,1293.0,11.46,5300
463,500,22806528,4286.0,100.72,1.0794,0.2116,1293.7084,11.47,5311
464,500,22855680,4288.0,105.61,1.111,0.1973,1294.0417,11.46,5323
465,500,22904832,4285.0,95.82,1.1044,0.3255,1296.0417,11.47,5334
466,500,22953984,4297.0,100.27,1.094,0.2645,1298.375,11.44,5345
467,500,23003136,4280.0,102.29,1.1005,0.3052,1299.5417,11.48,5357
468,500,23052288,4295.0,98.61,1.0814,0.3825,1301.4167,11.44,5368
469,500,23101440,4314.0,101.43,1.0496,0.4985,1302.0,11.39,5380
470,500,23150592,4290.0,98.03,1.0602,0.2787,1302.0,11.46,5391
471,500,23199744,4269.0,98.04,1.1103,0.3825,1303.9584,11.51,5403
472,500,23248896,4272.0,100.97,1.1406,0.3825,1306.625,11.5,5414
473,500,23298048,4273.0,98.1,1.1366,0.3337,1309.0,11.5,5426
474,500,23347200,4274.0,94.9,1.1551,0.3682,1311.7917,11.5,5437
475,500,23396352,4285.0,100.5,1.1567,0.415,1313.8334,11.47,5449
476,500,23445504,4300.0,103.39,1.1888,0.4862,1316.125,11.43,5460
477,500,23494656,4307.0,98.1,1.246,0.4354,1319.75,11.41,5472
478,500,23543808,4296.0,96.44,1.2404,0.3764,1323.0,11.44,5483
479,500,23592960,4308.0,99.81,1.2029,0.3215,1325.375,11.41,5494
480,500,23642112,4302.0,103.69,1.1715,0.2116,1327.0,11.43,5506
481,500,23691264,4300.0,94.16,1.1801,0.4232,1328.5417,11.43,5517
482,500,23740416,4296.0,98.02,1.1997,0.3276,1330.375,11.44,5529
483,500,23789568,4293.0,101.58,1.192,0.4618,1334.0,11.45,5540
484,500,23838720,4308.0,98.42,1.1781,0.236,1335.0417,11.41,5552
485,500,23887872,4294.0,102.3,1.169,0.2909,1337.4584,11.44,5563
486,500,23937024,4303.0,98.66,1.1692,0.3235,1339.375,11.42,5574
487,500,23986176,4313.0,98.51,1.1825,0.2747,1340.0,11.4,5586
488,500,24035328,4308.0,99.4,1.1786,0.3398,1340.7084,11.41,5597
489,500,24084480,4289.0,96.79,1.1591,0.356,1341.9167,11.46,5609
490,500,24133632,4303.0,93.62,1.1821,0.4049,1343.0,11.42,5620
491,500,24182784,4300.0,99.29,1.1978,0.2543,1343.0,11.43,5631
492,500,24231936,4291.0,99.44,1.2506,0.3764,1344.5,11.45,5643
493,500,24281088,4297.0,97.63,1.2346,0.356,1345.7084,11.44,5654
494,500,24330240,4299.0,105.17,1.2269,0.2706,1347.3334,11.43,5666
495,500,24379392,4301.0,97.5,1.2289,0.4211,1348.2084,11.43,5677
496,500,24428544,4301.0,94.57,1.2357,0.4679,1350.1667,11.43,5689
497,500,24477696,4285.0,96.65,1.2224,0.4903,1352.3334,11.47,5700
498,500,24526848,4305.0,92.41,1.2004,0.415,1355.5834,11.42,5712
499,500,24576000,4315.0,93.07,1.1319,0.1689,1358.375,11.39,5723
