team,clients,fall_event_count,score_event_count,distance_mean_m,distance_min_m,distance_final_mean_m
A,client_0;client_1;client_4,1,0,3.023504,1.401293,2.542965
B,client_2;client_3;client_5,0,0,3.147865,0.960602,3.173563
